,code,stock_at,collect_at,remain_stat
193,11802090,2020-03-16 14:41:00,2020-03-16 15:25:00,few
194,11802090,2020-03-16 14:41:00,2020-03-16 15:30:00,empty
195,11802090,2020-03-17 14:45:00,2020-03-17 14:55:00,plenty
196,11802090,2020-03-17 14:45:00,2020-03-17 15:15:00,some
197,11802090,2020-03-17 14:45:00,2020-03-17 15:25:00,few
198,11802090,2020-03-17 14:45:00,2020-03-17 15:30:00,empty
199,11802090,2020-03-18 14:36:00,2020-03-18 14:45:00,plenty
200,11802090,2020-03-18 14:36:00,2020-03-18 15:15:00,some
201,11802090,2020-03-18 14:36:00,2020-03-18 15:25:00,few
202,11802090,2020-03-18 14:36:00,2020-03-18 16:05:00,empty
203,11802090,2020-03-19 14:34:00,2020-03-19 14:40:00,plenty
204,11802090,2020-03-19 14:34:00,2020-03-19 15:05:00,some
205,11802090,2020-03-19 14:34:00,2020-03-19 15:30:00,few
206,11802090,2020-03-19 14:34:00,2020-03-19 16:00:00,empty
207,11802090,2020-03-20 14:35:00,2020-03-20 14:45:00,plenty
208,11802090,2020-03-20 14:35:00,2020-03-20 15:10:00,some
209,11802090,2020-03-20 14:35:00,2020-03-20 15:20:00,few
210,11802090,2020-03-20 14:35:00,2020-03-20 16:15:00,empty
211,11802090,2020-03-23 14:32:00,2020-03-23 14:40:00,plenty
212,11802090,2020-03-23 14:32:00,2020-03-23 15:35:00,some
213,11802090,2020-03-23 14:32:00,2020-03-23 17:20:00,few
214,11802090,2020-03-23 14:32:00,2020-03-23 18:00:00,empty
215,11802090,2020-03-24 14:26:00,2020-03-24 14:35:00,plenty
216,11802090,2020-03-24 14:26:00,2020-03-24 15:35:00,some
217,11802090,2020-03-24 14:26:00,2020-03-24 16:55:00,few
218,11802090,2020-03-24 14:26:00,2020-03-24 17:45:00,empty
219,11802090,2020-03-25 14:22:00,2020-03-25 14:30:00,plenty
220,11802090,2020-03-25 14:22:00,2020-03-25 15:50:00,some
221,11802090,2020-03-25 14:22:00,2020-03-25 18:15:00,few
222,11802090,2020-03-25 14:22:00,2020-03-25 20:05:00,empty
223,11802090,2020-03-26 14:08:00,2020-03-26 14:15:00,plenty
224,11802090,2020-03-26 14:08:00,2020-03-26 16:30:00,some
225,11802090,2020-03-26 14:08:00,2020-03-26 18:35:00,few
226,11802090,2020-03-26 14:08:00,2020-03-26 19:10:00,empty
227,11802090,2020-03-27 13:05:00,2020-03-27 13:15:00,plenty
228,11802090,2020-03-27 13:05:00,2020-03-27 15:40:00,some
229,11802090,2020-03-27 13:05:00,2020-03-27 16:50:00,few
230,11802090,2020-03-27 13:05:00,2020-03-27 17:15:00,empty
231,11802090,2020-03-30 13:53:00,2020-03-30 14:00:00,plenty
232,11802090,2020-03-31 12:04:00,2020-04-01 10:15:00,some
233,11802090,2020-04-01 11:22:00,2020-04-01 11:30:00,plenty
234,11802090,2020-04-04 10:39:00,2020-04-06 00:00:00,empty
235,11802090,2020-04-06 08:58:00,2020-04-06 09:15:00,plenty
236,11802090,2020-04-06 08:58:00,2020-04-06 20:10:00,some
237,11802090,2020-04-06 08:58:00,2020-04-07 10:35:00,few
238,11802090,2020-04-07 11:07:00,2020-04-07 11:15:00,plenty
239,11802090,2020-04-13 09:01:00,2020-04-13 19:15:00,some
240,11802090,2020-04-13 09:01:00,2020-04-14 09:40:00,few
241,11802090,2020-04-14 09:56:00,2020-04-14 10:05:00,plenty
242,11802090,2020-04-27 08:54:00,2020-04-27 13:50:00,break
243,11802090,2020-04-27 08:54:00,2020-04-27 13:55:00,plenty
244,11802090,2020-04-27 08:54:00,2020-04-27 17:40:00,some
245,11802090,2020-04-27 08:54:00,2020-04-27 18:30:00,plenty
246,11802090,2020-04-27 08:54:00,2020-04-27 19:20:00,some
247,11802090,2020-04-27 08:54:00,2020-04-27 22:00:00,few
248,11802090,2020-04-28 08:49:00,2020-04-28 08:55:00,plenty
249,11802090,2020-04-28 08:49:00,2020-04-28 15:20:00,some
250,11802090,2020-04-28 08:49:00,2020-04-28 15:30:00,plenty
251,11802090,2020-05-02 09:10:00,2020-05-04 00:00:00,few
252,11802090,2020-05-04 08:54:00,2020-05-04 09:00:00,plenty
253,11802090,2020-05-04 08:54:00,2020-05-04 18:20:00,some
254,11802090,2020-05-04 08:54:00,2020-05-04 19:25:00,plenty
255,11802090,2020-05-04 08:54:00,2020-05-04 20:00:00,some
256,11802090,2020-05-06 08:55:00,2020-05-06 09:05:00,plenty
257,11802090,2020-05-06 08:55:00,2020-05-06 21:00:00,some
258,11802090,2020-05-07 08:54:00,2020-05-07 09:00:00,plenty
259,11802090,2020-05-09 10:50:00,2020-05-11 00:00:00,some
260,11802090,2020-05-11 09:00:00,2020-05-11 09:10:00,plenty
261,11802090,2020-05-11 09:00:00,2020-05-11 18:10:00,some
262,11802090,2020-05-11 09:00:00,2020-05-11 18:50:00,plenty
263,11802090,2020-05-11 09:00:00,2020-05-11 19:30:00,some
264,11802090,2020-05-11 09:00:00,2020-05-11 20:20:00,few
265,11802090,2020-05-11 09:00:00,2020-05-11 20:25:00,plenty
266,11802090,2020-05-11 09:00:00,2020-05-11 21:05:00,some
267,11803011,2020-03-14 08:55:00,2020-03-16 00:00:00,empty
268,11803011,2020-03-16 08:56:00,2020-03-16 09:05:00,plenty
269,11803011,2020-03-16 08:56:00,2020-03-16 09:40:00,some
270,11803011,2020-03-16 08:56:00,2020-03-16 10:30:00,plenty
271,11803011,2020-03-16 08:56:00,2020-03-16 10:40:00,some
272,11803011,2020-03-16 08:56:00,2020-03-16 10:45:00,few
273,11803011,2020-03-16 08:56:00,2020-03-16 11:15:00,empty
274,11803011,2020-03-17 09:02:00,2020-03-17 09:10:00,plenty
275,11803011,2020-03-17 09:02:00,2020-03-17 09:45:00,some
276,11803011,2020-03-17 09:02:00,2020-03-17 10:15:00,few
277,11803011,2020-03-17 09:02:00,2020-03-17 11:00:00,empty
278,11803011,2020-03-18 08:46:00,2020-03-18 08:55:00,plenty
279,11803011,2020-03-18 08:46:00,2020-03-18 09:35:00,some
280,11803011,2020-03-18 08:46:00,2020-03-18 09:50:00,few
281,11803011,2020-03-18 08:46:00,2020-03-18 09:55:00,empty
282,11803011,2020-03-18 08:46:00,2020-03-18 10:30:00,few
283,11803011,2020-03-18 08:46:00,2020-03-18 10:50:00,empty
284,11803011,2020-03-18 08:46:00,2020-03-18 12:00:00,few
285,11803011,2020-03-18 08:46:00,2020-03-18 12:35:00,empty
286,11803011,2020-03-19 08:58:00,2020-03-19 09:05:00,plenty
287,11803011,2020-03-19 08:58:00,2020-03-19 09:30:00,some
288,11803011,2020-03-19 08:58:00,2020-03-19 09:45:00,few
289,11803011,2020-03-19 08:58:00,2020-03-19 10:15:00,empty
290,11803011,2020-03-19 08:58:00,2020-03-19 10:20:00,few
291,11803011,2020-03-19 08:58:00,2020-03-19 10:25:00,empty
292,11803011,2020-03-20 08:56:00,2020-03-20 09:05:00,plenty
293,11803011,2020-03-20 08:56:00,2020-03-20 09:40:00,some
294,11803011,2020-03-20 08:56:00,2020-03-20 09:55:00,few
295,11803011,2020-03-20 08:56:00,2020-03-20 10:50:00,empty
296,11803011,2020-03-20 08:56:00,2020-03-20 11:00:00,few
297,11803011,2020-03-20 08:56:00,2020-03-20 11:45:00,empty
298,11803011,2020-03-23 08:57:00,2020-03-23 09:05:00,plenty
299,11803011,2020-03-23 08:57:00,2020-03-23 09:50:00,some
300,11803011,2020-03-23 08:57:00,2020-03-23 11:25:00,few
301,11803011,2020-03-23 08:57:00,2020-03-23 12:45:00,empty
302,11803011,2020-03-24 09:02:00,2020-03-24 09:10:00,plenty
303,11803011,2020-03-24 09:02:00,2020-03-24 11:35:00,some
304,11803011,2020-03-24 09:02:00,2020-03-24 16:05:00,few
305,11803011,2020-03-25 08:59:00,2020-03-25 09:05:00,plenty
306,11803011,2020-03-25 08:59:00,2020-03-25 13:50:00,some
307,11803011,2020-03-26 08:55:00,2020-03-26 09:05:00,plenty
308,11803011,2020-03-26 08:55:00,2020-03-26 16:15:00,some
309,11803011,2020-03-26 08:55:00,2020-03-26 17:00:00,plenty
310,11803011,2020-03-26 08:55:00,2020-03-26 18:35:00,some
311,11803011,2020-03-27 08:59:00,2020-03-27 09:05:00,plenty
312,11803011,2020-03-28 08:59:00,2020-03-30 00:00:00,few
313,11803011,2020-03-30 08:57:00,2020-03-30 09:05:00,plenty
314,11803011,2020-03-30 08:57:00,2020-03-30 14:40:00,some
315,11803011,2020-03-31 09:16:00,2020-04-01 00:00:00,plenty
316,11803011,2020-04-06 08:53:00,2020-04-06 09:10:00,some
317,11803011,2020-04-06 08:53:00,2020-04-06 10:45:00,few
318,11803011,2020-04-06 08:53:00,2020-04-06 13:05:00,empty
319,11803011,2020-04-06 08:53:00,2020-04-06 14:10:00,some
320,11803011,2020-04-06 08:53:00,2020-04-06 15:05:00,few
321,11803011,2020-04-06 08:53:00,2020-04-06 16:15:00,empty
322,11803011,2020-04-06 08:53:00,2020-04-06 17:25:00,few
323,11803011,2020-04-07 09:00:00,2020-04-07 09:10:00,plenty
324,11803011,2020-04-07 09:00:00,2020-04-07 09:15:00,some
325,11803011,2020-04-07 09:00:00,2020-04-07 10:35:00,few
326,11803011,2020-04-07 09:00:00,2020-04-07 12:45:00,empty
